,date,time,temperature,relative_humidity,wind_speed,wind_direction,load,__fileposition__
1,20160101,0,1.100000023841858,94,3," east-northeast                      ",19125,0
2,20160101,10000,1.100000023841858,95,3," north-east                          ",18912,54
3,20160101,20000,1.100000023841858,95,3," north-northeast                     ",18592,108
4,20160101,30000,0.8999999761581421,96,3," north-northeast                     ",18536,162
5,20160101,40000,1.200000047683716,96,3," north-east                          ",18810,216
6,20160101,50000,1.100000023841858,96,3," north-northeast                     ",19034,270
7,20160101,60000,1.100000023841858,96,3," north-east                          ",19406,324
8,20160101,70000,1.299999952316284,96,3," north-northeast                     ",19958,378
9,20160101,80000,1.5,95,2," north-northeast                     ",20376,432
10,20160101,90000,1.600000023841858,96,3," north-east                          ",20984,486
11,20160101,100000,1.700000047683716,96,2," north-east                          ",21367,540
12,20160101,110000,1.600000023841858,97,3," north-northeast                     ",21649,594
13,20160101,120000,2.0,96,3," north-east                          ",21808,648
14,20160101,130000,2.200000047683716,96,2," north-east                          ",22168,702
15,20160101,140000,2.0,96,3," north-northeast                     ",22690,756
16,20160101,150000,2.400000095367432,93,3," east-northeast                      ",23018,810
17,20160101,160000,2.299999952316284,94,3," north-east                          ",22824,864
18,20160101,170000,2.299999952316284,93,3," east-northeast                      ",22625,918
19,20160101,180000,2.299999952316284,91,3," east-northeast                      ",22113,972
20,20160101,190000,2.200000047683716,92,3," north-east                          ",21793,1026
21,20160101,200000,1.700000047683716,94,3," north-east                          ",21429,1080
22,20160101,210000,1.399999976158142,94,3," north-east                          ",20805,1134
23,20160101,220000,1.100000023841858,95,3," north-east                          ",20338,1188
24,20160101,230000,1.600000023841858,94,3," north-east                          ",19888,1242
25,20160102,0,1.5,94,3," north-east                          ",19449,1296
26,20160102,10000,1.399999976158142,92,3," north-east                          ",19039,1350
27,20160102,20000,1.299999952316284,90,4," east-northeast                      ",18904,1404
28,20160102,30000,1.100000023841858,91,3," east-northeast                      ",18985,1458
29,20160102,40000,1.0,89,4," east-northeast                      ",19242,1512
30,20160102,50000,1.100000023841858,86,3," east                                ",19731,1566
31,20160102,60000,1.0,82,3," east-southeast                      ",20397,1620
32,20160102,70000,0.5,82,4," east                                ",21290,1674
33,20160102,80000,-0.8999999761581421,88,6," east                                ",22149,1728
34,20160102,90000,-1.600000023841858,82,6," east                                ",22970,1782
35,20160102,100000,-2.0,81,5," east                                ",23487,1836
36,20160102,110000,-2.599999904632568,83,5," east-northeast                      ",23649,1890
